lake,year,month,area_m2,temp_C,source,region,hemisphere,pet_mm,precip_mm,snow_cover_pct,snow_depth_cm
Manasarovar,2000,7,413613754.7,5.405952992,GSW,Tibetan Plateau,north,-2.86515404,4.932521654,550.533967,0.583727562
Manasarovar,2000,8,431123322.1,5.106822247,Landsat-7/8/9,Tibetan Plateau,north,-3.310827344,3.775390752,220.1042729,0.218143048
Manasarovar,2001,6, -   ,3.636147899,GSW,Tibetan Plateau,north,-3.136670963,2.238376257,339.571065,0.36989759
Manasarovar,2001,7,382602948.1,6.048116895,GSW,Tibetan Plateau,north,-3.077975779,3.273013675,199.9780321,0.211628249
Manasarovar,2001,8,415562442.1,5.323170772,Landsat-7/8/9,Tibetan Plateau,north,-3.454463176,2.788967339,132.9885064,0.145979129
Manasarovar,2002,6,307641017.5,2.995950805,Landsat-7/8/9,Tibetan Plateau,north,-2.887845361,0.947640128,909.7659372,1.942067095
Manasarovar,2002,7, -   ,6.146759905,GSW,Tibetan Plateau,north,-3.593552276,1.178816486,80.88126078,0.094025051
Manasarovar,2002,8, -   ,5.329300964,GSW,Tibetan Plateau,north,-2.947609742,5.607777856,449.0548038,0.472515931
Manasarovar,2003,6, -   ,2.630988222,GSW,Tibetan Plateau,north,-2.810347715,1.093132895,919.0677217,2.761370746
Manasarovar,2003,7,445477106.5,4.261704849,Landsat-7/8/9,Tibetan Plateau,north,-2.274779973,4.229265718,1511.2985,3.163365836
Manasarovar,2003,8, -   ,5.592133414,GSW,Tibetan Plateau,north,-3.083248397,2.86320631,79.77164195,0.085900038
Manasarovar,2004,6,106440521.3,2.789617606,GSW,Tibetan Plateau,north,-3.259405563,1.572037899,281.1711981,0.301545609
Manasarovar,2004,7,362494148.9,5.479071461,Landsat-7/8/9,Tibetan Plateau,north,-3.412448092,2.901632914,157.1907763,0.151524512
Manasarovar,2004,8, -   ,5.115321296,GSW,Tibetan Plateau,north,-3.522488113,3.199590405,163.0710184,0.174125029
Manasarovar,2005,6, -   ,1.223525632,GSW,Tibetan Plateau,north,-2.529842143,0.994588841,1879.601485,7.159056703
Manasarovar,2005,7, -   ,5.463775506,GSW,Tibetan Plateau,north,-2.936243012,3.691709954,240.0361214,0.255950237
Manasarovar,2005,8,257216223.1,4.948657127,GSW,Tibetan Plateau,north,-3.225505052,3.207399109,409.2723734,0.438882156
Manasarovar,2006,6, -   ,2.153699874,GSW,Tibetan Plateau,north,-2.979524005,1.689476456,788.3011969,0.8642993
Manasarovar,2006,7,297014617.9,6.22342317,Landsat-7/8/9,Tibetan Plateau,north,-3.018893176,4.285453153,396.7690544,0.425400713
Manasarovar,2006,8, -   ,4.740507945,GSW,Tibetan Plateau,north,-2.803468022,5.570324252,613.5630048,0.641572069
Manasarovar,2007,6,359939568.7,4.023559721,Landsat-7/8/9,Tibetan Plateau,north,-3.277704703,1.061811147,332.3109673,0.605925525
Manasarovar,2007,7, -   ,6.072371889,GSW,Tibetan Plateau,north,-3.149858315,2.974031934,86.93667123,0.08691053
Manasarovar,2007,8,372769121.4,5.675781457,GSW,Tibetan Plateau,north,-3.040099386,4.892033447,309.2711083,0.310574314
Manasarovar,2008,6,247767481.3,4.042961766,Landsat-7/8/9,Tibetan Plateau,north,-2.453511297,3.131798795,1236.563348,3.970568228
Manasarovar,2008,7, -   ,5.694663104,GSW,Tibetan Plateau,north,-2.778247283,3.635785658,148.7084269,0.157357434
Manasarovar,2008,8,329775819.3,4.961724936,GSW,Tibetan Plateau,north,-3.030964013,4.118664474,366.6642294,0.378334788
Manasarovar,2009,6,413959352.6,1.732192836,GSW,Tibetan Plateau,north,-2.587624052,0.688738043,1815.006858,7.368573599
Manasarovar,2009,7,376187802.7,5.730818732,GSW,Tibetan Plateau,north,-3.318646589,2.190637895,142.4339122,0.207035851
Manasarovar,2009,8,414121970.1,5.289493337,GSW,Tibetan Plateau,north,-3.225930452,2.876518173,628.4616828,0.697527038
Manasarovar,2010,6,79761038.45,2.012262953,GSW,Tibetan Plateau,north,-2.837510635,1.445865718,1441.500103,4.918631567
Manasarovar,2010,7,356398499.1,6.075603296,Landsat-7/8/9,Tibetan Plateau,north,-3.177852857,3.828752711,318.0093833,0.360400608
Manasarovar,2010,8,413633477.5,5.78102405,GSW,Tibetan Plateau,north,-2.706383342,5.935461725,546.9221892,0.577212764
Manasarovar,2011,6,343488835,2.61855043,Landsat-7/8/9,Tibetan Plateau,north,-2.673634131,2.839312461,933.7900812,1.263509375
Manasarovar,2011,7,397848627.2,5.599085131,GSW,Tibetan Plateau,north,-2.758869354,3.546910111,140.8453694,0.142807991
Manasarovar,2011,8,309274132.9,5.413431187,GSW,Tibetan Plateau,north,-2.912041633,4.261666747,451.0067787,0.472967777
Manasarovar,2012,6,45372453.06,3.19598966,Landsat-7/8/9,Tibetan Plateau,north,-3.414246936,0.584068957,418.2843193,0.720234355
Manasarovar,2012,7,406832950.7,6.477294878,Landsat-7/8/9,Tibetan Plateau,north,-3.224932697,2.852898039,100.041767,0.102684064
Manasarovar,2012,8, -   ,5.472476202,GSW,Tibetan Plateau,north,-3.054117099,4.629298035,259.1007705,0.258480575
Manasarovar,2013,6,391137757.1,2.706167692,Landsat-7/8/9,Tibetan Plateau,north,-2.111132491,3.932612976,2473.137951,7.371087506
Manasarovar,2013,7,416738006.5,5.868465835,GSW,Tibetan Plateau,north,-2.762778972,4.277961898,467.1566102,0.518448134
Manasarovar,2013,8,415476877.8,5.236762904,Landsat-7/8/9,Tibetan Plateau,north,-2.898804185,4.17058982,572.0903416,0.60999214
Manasarovar,2014,6,417754931.4,2.618560808,GSW,Tibetan Plateau,north,-3.132503661,0.712631918,548.1207641,1.359399318
Manasarovar,2014,7,80608.97633,5.759006299,Landsat-7/8/9,Tibetan Plateau,north,-2.789507589,4.244372279,234.3519641,0.251357838
Manasarovar,2014,8,426830123,5.1401735,Landsat-7/8/9,Tibetan Plateau,north,-3.284955257,2.278577335,351.5308215,0.374383189
Manasarovar,2015,6,417766995.6,0.632426838,GSW,Tibetan Plateau,north,-2.12332701,2.625296229,2835.529918,5.930832396
Manasarovar,2015,7,415168490.3,5.100206051,Landsat-7/8/9,Tibetan Plateau,north,-2.625907923,4.095713618,848.1021974,1.250635871
Manasarovar,2015,8,305543.2861,5.274096568,Landsat-7/8/9,Tibetan Plateau,north,-3.154607083,3.408480272,151.301563,0.161407617
